,match,coef_match,food_cat,definition
2,gin,-0.589667408,alcoholic beverages,strong liquor flavored with juniper berries
9,spread,-0.522870329,baking goods,process or result of distributing or extending over a wide expanse of space
14,celery,-0.500798508,vegetables,widely cultivated herb with aromatic leaf stalks that are eaten raw or cooked
16,peaches,-0.499155219,fruits,cultivated in temperate regions
26,treat,-0.4679684,sweets,something considered choice to eat
27,pickles,-0.466124742,vegetables,vegetables (especially cucumbers) preserved in brine or vinegar
34,mozzarella,-0.438722075,dairy,mild white Italian cheese
49,smoked,-0.395272957,,"inhale and exhale smoke from cigarettes, cigars, pipes"
80,cocktails,-0.340809728,alcoholic beverages,a short mixed drink
85,cheddar,-0.333931566,dairy,a village in southwestern England where cheddar cheese was first made
97,molasses,-0.324518204,sweets,thick dark syrup produced by boiling down juice from sugar cane; especially during sugar refining
101,beer,-0.323003707,alcoholic beverages,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
111,drank,-0.313424688,beverages,take in liquids
140,avocados,-0.293839827,vegetables,a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed
167,cocoa,-0.280987049,beverages,a beverage made from cocoa powder and milk and sugar; usually drunk hot
178,treats,-0.274349842,sweets,something considered choice to eat
206,cheeseburgers,-0.266655202,fast foods,a hamburger with melted cheese on it
226,jello,-0.259265195,sweets,fruit-flavored dessert (trade mark Jell-O) made from a commercially prepared gelatin powder
235,donut,-0.255272494,confectioneries,a small ring-shaped friedcake
244,guacamole,-0.253811599,snack foods,a dip made of mashed avocado mixed with chopped onions and other seasonings
278,croissant,-0.243965496,confectioneries,very rich flaky crescent-shaped roll
288,sour,-0.241697717,fats and oils,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
299,cranberries,-0.237872764,fruits,any of numerous shrubs of genus Vaccinium bearing cranberries
317,mint,-0.234408834,herbs and spices,(often followed by `of') a large number or amount or extent
345,chowder,-0.228843523,soups,a thick soup or stew made with milk and bacon and onions and potatoes
354,beets,-0.227672192,vegetables,biennial Eurasian plant usually having a swollen edible root; widely cultivated as a food crop
363,veal,-0.225905445,meats,meat from a calf
367,brie,-0.225181588,dairy,soft creamy white cheese; milder than Camembert
371,grape,-0.224346688,fruits,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters
416,okra,-0.216826243,vegetables,long green edible beaked pods of the okra plant
420,quail,-0.21560871,poultry,flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
433,wines,-0.213712588,alcoholic beverages,fermented juice (of grapes especially)
455,dripping,-0.209412687,fats and oils,a liquid (as water) that flows in drops (as from the eaves of house)
463,cookout,-0.208021657,,an informal meal cooked and eaten outdoors
465,monterey,-0.207434894,dairy,a town in western California to the south of San Francisco on a peninsula at the southern end of Monterey Bay
466,smelt,-0.207224481,seafood,small cold-water silvery fish; migrate between salt and fresh water
475,kahlua,-0.205134402,alcoholic beverages,coffee-flavored liqueur made in Mexico
480,plums,-0.203825415,fruits,any of several trees producing edible oval fruit having a smooth skin and a single hard stone
493,bratwurst,-0.20199088,meats,a small pork sausage
499,toast,-0.200949348,dairy,slices of bread that have been toasted
516,goodies,-0.197293587,,something considered choice to eat
569,limeade,-0.190632903,beverages,sweetened beverage of lime juice and water
570,eats,-0.190519491,,informal terms for a meal
575,custard,-0.189818486,sweets,sweetened mixture of milk and eggs baked or boiled or frozen
586,tonic,-0.18850336,beverages,lime- or lemon-flavored carbonated water containing quinine
588,luncheon,-0.188384005,,a midday meal
596,cookouts,-0.187619527,,an informal meal cooked and eaten outdoors
608,pudding,-0.185719965,confectioneries,any of various soft thick unsweetened baked dishes
622,herbal,-0.182927775,beverages,tea-like drink made of leaves of various herbs
632,papaya,-0.181972148,fruits,tropical American shrub or small tree having huge deeply palmately cleft leaves and large oblong yellow fruit
634,oktoberfest,-0.181888106,alcoholic beverages,a strong lager made originally in Germany for the Oktoberfest celebration; sweet and copper-colored
637,thistle,-0.181446366,vegetables,any of numerous plants of the family Compositae and especially of the genera Carduus and Cirsium and Onopordum having prickly-edged leaves
640,chilli,-0.181224145,herbs and spices,very hot and finely tapering pepper of special pungency
653,shellfish,-0.179925057,seafood,meat of edible aquatic invertebrate with a shell (especially a mollusk or crustacean)
655,fizz,-0.179818301,alcoholic beverages,an effervescent beverage (usually alcoholic)
656,consumed,-0.179600727,,eat immoderately
670,espresso,-0.178253555,beverages,strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans
674,snail,-0.177694473,seafood,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
679,icecream,-0.176999423,dairy,frozen dessert containing cream and sugar and flavoring
685,sirloin,-0.175755334,meats,the portion of the loin (especially of beef) just in front of the rump
719,tomatoes,-0.172487606,vegetables,mildly acid red or yellow pulpy fruit eaten as a vegetable
722,whey,-0.172273755,dairy,the serum or watery part of milk that is separated from the curd in making cheese
728,vitamin,-0.171943908,,any of a group of organic substances essential in small quantities to normal metabolism
746,jams,-0.170792793,sweets,preserve of crushed fruit
757,homebrew,-0.169926947,alcoholic beverages,an alcoholic beverage (especially beer) made at home
791,rhubarb,-0.166285883,fruits,long pinkish sour leafstalks usually eaten cooked and sweetened
801,cardamom,-0.165460393,herbs and spices,rhizomatous herb of India having aromatic seeds used as seasoning
819,dandelion,-0.163752185,herbs and spices,any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
824,tabbouleh,-0.163494127,dishes,a finely chopped salad with tomatoes and parsley and mint and scallions and bulgur wheat
841,jelly,-0.161584269,sweets,an edible jelly (sweet or pungent) made with gelatin and used as a dessert or salad base or a coating for foods
842,wine,-0.161331413,alcoholic beverages,fermented juice (of grapes especially)
866,potatos,-0.159539412,baking goods,an edible tuber native to South America; a staple food of Ireland
872,pretzel,-0.159126016,snack foods,glazed and salted cracker typically in the shape of a loose knot
891,conserve,-0.157487026,,fruit preserved by cooking with sugar
916,veggie,-0.155449701,vegetables,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
920,halal,-0.155167071,meats,(Islam) meat from animals that have been slaughtered in the prescribed way according to the shariah
927,blts,-0.154620543,fast foods,sandwich filled with slices of bacon and tomato with lettuce
932,cognac,-0.154231367,alcoholic beverages,high quality grape brandy distilled in the Cognac district of France
940,sauces,-0.153760852,sauces,flavorful relish or dressing or topping served as an accompaniment to food
950,gouda,-0.153016688,dairy,mild cream-colored Dutch cheese shaped in balls
971,potluck,-0.151923709,,whatever happens to be available especially when offered to an unexpected guest or when brought by guests and shared by all
989,yolk,-0.150753199,eggs,the yellow spherical part of an egg that is surrounded by the albumen
990,sucked,-0.150735161,,draw into the mouth by creating a practical vacuum in the mouth
994,kiwi,-0.150467245,fruits,climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat
1019,syrup,-0.148132336,sweets,a thick sweet sticky liquid
1020,condiments,-0.148100741,,a preparation (a sauce or relish or spice) to enhance flavor or enjoyment
1037,serrano,-0.147367204,vegetables,
1052,fryer,-0.146516184,,flesh of a medium-sized young chicken suitable for frying
1053,shortcake,-0.146349559,confectioneries,very short biscuit dough baked as individual biscuits or a round loaf; served with sweetened fruit and usually whipped cream
1097,milkshake,-0.143443648,confectioneries,frothy drink of milk and flavoring and sometimes fruit or ice cream
1111,turnips,-0.142763311,vegetables,widely cultivated plant having a large fleshy edible white or yellow root
1139,goat,-0.14138766,meats,any of numerous agile ruminants related to sheep but having a beard and straight horns
1162,jellyfish,-0.139705295,seafood,large siphonophore having a bladderlike float and stinging tentacles
1168,feta,-0.139435841,dairy,
1172,stuffing,-0.138949065,baking goods,a mixture of seasoned ingredients used to stuff meats and vegetables
1173,calamari,-0.138918996,seafood,(Italian cuisine) squid prepared as food
1175,steak,-0.138890313,meats,a slice of meat cut from the fleshy part of an animal or large fish
1180,cheshire,-0.138530806,dairy,
1189,mascarpone,-0.138078722,dairy,soft mild Italian cream cheese
1216,cherries,-0.135732992,fruits,wood of any of various cherry trees especially the black cherry
1255,whisky,-0.133836251,beverages,a liquor made from fermented mash of grain
1282,desserts,-0.132657012,,a dish served as the last course of a meal
1292,gorging,-0.132261217,,overeat or eat immodestly; make a pig of oneself
1293,omelette,-0.132061266,eggs,beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
1316,kabobs,-0.131217521,meats,cubes of meat marinated and cooked on a skewer usually with vegetables
1344,chilly,-0.129732712,sauces,very hot and finely tapering pepper of special pungency
1355,blt,-0.129287562,fast foods,sandwich filled with slices of bacon and tomato with lettuce
1359,kefir,-0.128721468,dairy,
1375,weenie,-0.127637539,meats,a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
1378,matzah,-0.127526484,,brittle flat bread eaten at Passover
1380,edible,-0.127351224,,any substance that can be used as food
1406,anise,-0.12591847,sweets,native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery
1411,allspice,-0.125576463,,aromatic West Indian tree that produces allspice berries
1416,capers,-0.125222313,vegetables,any of numerous plants of the genus Capparis
1417,pancakes,-0.125215416,confectioneries,a flat cake of thin batter fried on both sides on a griddle
1423,marinara,-0.124941384,sauces,sauce for pasta; contains tomatoes and garlic and herbs
1440,twinkie,-0.124272497,sweets,a small sponge cake with a synthetic cream filling
1446,gyros,-0.123997542,fast foods,a Greek sandwich: sliced roast lamb with onion and tomato stuffed into pita bread
1447,teas,-0.123986893,beverages,a beverage made by steeping tea leaves in water
1449,swede,-0.123878455,vegetables,a native or inhabitant of Sweden
1487,durian,-0.121573169,fruits,tree of southeastern Asia having edible oval fruit with a hard spiny rind
1488,huckleberry,-0.121540352,fruits,any of various dark-fruited as distinguished from blue-fruited blueberries
1496,bitters,-0.121065648,,alcoholic liquor flavored with bitter herbs and roots
1534,bread,-0.118848683,dairy,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
1550,trout,-0.118169616,seafood,flesh of any of several primarily freshwater game and food fishes
1561,steamers,-0.11773975,seafood,a clam that is usually steamed in the shell
1571,whiskey,-0.117105075,alcoholic beverages,a liquor made from fermented mash of grain
1572,hash,-0.117061336,,chopped meat mixed with potatoes and browned
1577,sushi,-0.116857287,seafood,rice (with raw fish) wrapped in seaweed
1592,takeaway,-0.11609116,,prepared food that is intended to be eaten off of the premises
1593,preserves,-0.11605746,,fruit preserved by cooking with sugar
1622,adobo,-0.114864403,baking goods,a dish of marinated vegetables and meat or fish; served with rice
1673,sheep,-0.112504039,meats,woolly usually horned ruminant mammal related to the goat
1711,sours,-0.110755807,,a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar
1719,salsa,-0.110460211,sauces,spicy sauce of tomatoes and onions and chili peppers to accompany Mexican foods
1757,burdock,-0.109129137,vegetables,any of several erect biennial herbs of temperate Eurasia having stout taproots and producing burs
1765,leek,-0.108826805,vegetables,plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum
1768,fritters,-0.108680195,,small quantity of fried batter containing fruit or meat or vegetables
1772,meal,-0.108367648,,the food served and eaten at one time
1786,sampled,-0.107771603,,take a sample of
1830,generic,-0.105828251,,a wine that is a blend of several varieties of grapes with no one grape predominating; a wine that does not carry the name of any specific grape
1837,barbecue,-0.105619465,meats,meat that has been barbecued or grilled in a highly seasoned sauce
1848,spirulina,-0.105128638,vegetables,
1878,cumin,-0.103803499,herbs and spices,dwarf Mediterranean annual long cultivated for its aromatic seeds
1880,dumplings,-0.103787504,dishes,small balls or strips of boiled or steamed dough
1885,walnut,-0.103604973,nuts,nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell
1893,praline,-0.103241419,sweets,cookie-sized candy made of brown sugar and butter and pecans
1922,nopales,-0.101704029,vegetables,
1923,carrots,-0.101649768,vegetables,deep orange edible root of the cultivated carrot plant
1939,vinegar,-0.101016722,sauces,sour-tasting liquid produced usually by oxidation of the alcohol in wine or cider and used as a condiment or food preservative
1943,loaves,-0.100807877,meats,a shaped mass of baked bread that is usually sliced before eating
1945,curds,-0.1007292,sauces,a coagulated liquid resembling milk curd
1946,taro,-0.10072573,vegetables,edible starchy tuberous root of taro plants
1947,mixes,-0.100711858,,a commercially prepared mixture of dry ingredients
1961,spelt,-0.100085328,cereal grains and pasta,hardy wheat grown mostly in Europe for livestock feed
1976,meats,-0.099407161,meats,the flesh of animals (including fishes and birds and snails) used as food
1978,chilis,-0.099343444,meats,ground beef and chili peppers or chili powder often with tomatoes and kidney beans
1986,slurp,-0.09909897,,eat noisily
1997,prosciutto,-0.098331776,meats,Italian salt-cured ham usually sliced paper thin
